time,size_rcv,size_sent 
50,611.72578125,786.08046875 
60,1443.35234375,1855.34921875 
70,2259.20234375,2907.078125 
80,3095.559375,3987.30234375 
90,3947.40625,5085.95390625 
100,4798.3625,6184.76171875 
110,5640.48359375,7270.76953125 
120,6484.91171875,8361.396875 
130,7328.5546875,9450.39140625 
140,8171.4078125,10535.70546875 
150,9042.2609375,11661.36328125 
160,9886.9859375,12750.428125 
170,10707.921875,13811.54765625 
180,11569.7171875,14924.56015625 
190,12430.85546875,16034.5140625 
200,13294.71875,17147.8390625 
210,14165.76796875,18274.05234375 
220,15044.33203125,19408.18671875 
230,15929.275,20547.965625 
240,16814.92421875,21695.9234375 
250,17684.80625,22821.87265625 
260,18555.70703125,23947.0015625 
270,19432.6796875,25085.390625 
280,20333.29296875,26244.78671875 
290,21220.58046875,27394.29375 
300,22089.84296875,28523.8734375 
310,22979.19296875,29674.07421875 
320,23800.2984375,30740.18125 
330,24673.47421875,31871.184375 
340,25554.25390625,33003.9703125 
350,26432.56328125,34141.59375 
360,27294.09921875,35259.88203125 
370,28163.67421875,36390.515625 
380,29034.9875,37508.22421875 
390,29894.53046875,38631.11953125 
400,30787.92109375,39781.86484375 
410,31682.0703125,40942.62734375 
420,32559.6953125,42075.05703125 
430,33457.65234375,43239.34609375 
440,34326.99921875,44366.603125 
450,35189.9765625,45482.27265625 
460,36058.146875,46604.94921875 
470,36950.196875,47766.7796875 
480,37824.61328125,48893.52421875 
490,38681.46640625,50014.75703125 
500,39558.25859375,51142.340625 
510,40430.15625,52267.5609375 
520,41319.24140625,53422.03828125 
530,42185.7296875,54542.38046875 
540,43048.1671875,55662.48828125 
550,43918.0875,56792.62421875 
560,44789.39609375,57916.5921875 
570,45614.81328125,58981.53046875 
580,46484.5,60110.61484375 
590,47340.478125,61227.4609375 
600,48198.9640625,62331.9984375 
610,49086.90859375,63485.7328125 
620,49984.96015625,64644.559375 
630,50841.91484375,65752.03203125 
640,51703.29140625,66875.6796875 
650,52565.765625,67993.7421875 
660,53446.03828125,69127.52265625 
670,54342.41328125,70285.76328125 
680,55221.73125,71432.5734375 
690,56108.3125,72572.4453125 
700,56981.59453125,73714.36328125 
710,57863.74140625,74839.89375 
720,58727.37734375,75964.8046875 
730,59592.8171875,77092.6375 
740,60464.03125,78211.18125 
750,61326.90859375,79344.36484375 
760,62231.14375,80500.7 
770,63095.29921875,81619.8328125 
780,63961.6984375,82744.17578125 
790,64838.6328125,83880.27734375 
800,65713.4203125,85018.77734375 
810,66570.275,86127.4796875 
820,67438.603125,87256.3078125 
830,68323.68984375,88389.2453125 
840,69214.14765625,89560.73671875 
850,70116.46875,90716.0953125 
860,70969.58828125,91818.34453125 
870,71841.6671875,92959.6796875 
880,72713.71796875,94088.8203125 
890,73573.97578125,95198.8203125 
900,74436.55078125,96312.890625 
910,75333.74921875,97467.375 
920,76184.96875,98573.203125 
930,77048.7,99691.7265625 
940,77949.4796875,100851.203125 
950,78828.9671875,101998.0296875 
960,79692.565625,103120.4203125 
970,80579.3109375,104276.81875 
980,81466.284375,105422.803125 
990,82375.2578125,106586.2875 
1000,83262.26328125,107738.33359375 
1010,84130.53984375,108880.23984375 
1020,85018.60546875,110016.20859375 
1030,85880.86171875,111133.65390625 
1040,86761.03671875,112278.99765625 
1050,87646.95703125,113411.67734375 
1060,88516.61640625,114537.996875 
1070,89389.80390625,115667.1375 
1080,90266.73359375,116797.91875 
1090,91122.70078125,117928.2546875 
1100,92028.04453125,119077.8640625 
1110,92878.4125,120196.15234375 
1120,93751.53046875,121331.08203125 
1130,94626.83828125,122454.00390625 
1140,95494.48203125,123578.29296875 
1150,96383.55234375,124729.26953125 
1160,97269.9609375,125873.78515625 
1170,98132.5390625,126996.48046875 
1180,99002.50625,128123.69140625 
1190,99867.35078125,129242.99609375 
1200,100741.0875,130382.27734375 
1210,101643.51015625,131547.28515625 
1220,102508.70546875,132657.40234375 
1230,103369.55703125,133793.65234375 
1240,104272.03671875,134946.73046875 
1250,105155.52734375,136078.72265625 
1260,106039.46875,137224.95703125 
1270,106935.00234375,138392.75390625 
1280,107797.56640625,139503.43359375 
1290,108657.25078125,140611.05859375 
1300,109504.134375,141731.65234375 
1310,110347.15234375,142823.86328125 
1320,111248.046875,143974.68359375 
1330,112156.9234375,145148.99609375 
1340,113020.271875,146270.80078125 
1350,113877.0140625,147395.68359375 
1360,114769.55625,148558.21484375 
1370,115647.85,149683.53515625 
1380,116502.47578125,150804.75390625 
1390,117398.50234375,151967.79296875 
1400,118297.64609375,153117.39453125 
1410,119166.37890625,154239.41015625 
1420,120029.3296875,155358.01953125 
1430,120920.53046875,156500.02734375 
1440,121820.44921875,157659.95703125 
1450,122701.59609375,158804.04296875 
1460,123560.696875,159947.04296875 
1470,124456.7875,161082.67578125 
1480,125332.5296875,162217.51953125 
1490,126176.44921875,163339.21484375 
1500,127050.17109375,164458.42578125 
1510,127932.43125,165603.60546875 
1520,128808.34765625,166730.81640625 
1530,129710.63984375,167883.77734375 
1540,130594.5796875,169023.80078125 
1550,131437.97421875,170136.22265625 
1560,132324.6078125,171265.25390625 
1570,133160.06796875,172363.33203125 
1580,134056.9390625,173512.00390625 
1590,134922.8796875,174638.28515625 
1600,135795.45703125,175772.26171875 
1610,136670.67578125,176912.30078125 
1620,137578.94609375,178073.59765625 
1630,138418.72890625,179160.05859375 
1640,139257.23359375,180263.38671875 
1650,140147.58515625,181407.25390625 
1660,141010.3734375,182548.49609375 
1670,141916.97265625,183699.09765625 
1680,142795.23515625,184820.27734375 
1690,143677.60625,185967.93359375 
1700,144533.22421875,187085.98828125 
1710,145406.1828125,188210.65234375 
1720,146264.55,189344.95703125 
1730,147161.05625,190484.26953125 
1740,148048.51171875,191629.91796875 
1750,148932.03984375,192763.63671875 
1760,149759.8515625,193864.60546875 
1770,150675.46875,195023.31640625 
1780,151526.2671875,196146.69140625 
1790,152409.03046875,197269.05078125 
1800,153259.4296875,198377.10546875 
1810,154141.87578125,199529.49609375 
1820,154999.99375,200653.33203125 
1830,155888.39609375,201799.93359375 
1840,156749.44453125,202928.81640625 
1850,157661.7140625,204092.64453125 
1860,158513.284375,205210.69140625 
1870,159401.9140625,206360.54296875 
1880,160280.32890625,207492.97265625 
1890,161160.13515625,208642.83203125 
1900,162064.35703125,209775.09765625 
1910,162946.97890625,210919.55078125 
1920,163787.575,212050.16015625 
1930,164665.22578125,213177.33203125 
1940,165563.4265625,214334.49609375 
1950,166443.240625,215459.90234375 
1960,167290.22109375,216580.44921875 
1970,168124.27109375,217661.18359375 
1980,169014.51171875,218789.17578125 
1990,169900.67890625,219927.83984375 
2000,170765.48125,221073.20703125 
2010,171667.48359375,222211.94140625 
2020,172506.44921875,223329.91796875 
2030,173374.08984375,224456.01171875 
2040,174256.221875,225583.19140625 
2050,175146.3359375,226733.1546875 
2060,176025.9125,227863.8015625 
2070,176877.11328125,228984.64375 
2080,177730.74609375,230093.228125 
2090,178602.15625,231235.7453125 
2100,179507.03984375,232406.34921875 
2110,180405.23984375,233569.8171875 
2120,181285.79296875,234710.14765625 
2130,182153.40546875,235836.015625 
2140,183063.6546875,237002.93359375 
2150,183922.8734375,238151.6125 
2160,184758.10546875,239253.978125 
2170,185661.26953125,240380.78046875 
2180,186557.23828125,241534.98359375 
2190,187424.15625,242670.603125 
2200,188250.3265625,243782.44609375 
2210,189175.07734375,244945.05703125 
2220,190043.084375,246088.27890625 
2230,190899.20078125,247218.5390625 
2240,191814.60625,248398.89140625 
2250,192701.03046875,249526.01171875 
2260,193576.93515625,250661.784375 
2270,194384.49453125,251759.16015625 
2280,195269.88828125,252900.45 
2290,196148.62734375,254030.2875 
2300,197000.99453125,255138.296875 
2310,197848.584375,256244.9375 
2320,198739.1234375,257371.2375 
2330,199588.48359375,258509.875 
2340,200446.5875,259636.596875 
2350,201367.2875,260811.346875 
2360,202272.721875,261967.96796875 
2370,203161.27109375,263131.2453125 
2380,204036.66953125,264282.30546875 
2390,204890.35078125,265401.0421875 
2400,205774.509375,266549.146875 
2410,206645.309375,267694.3078125 
2420,207536.4109375,268827.95234375 
2430,208447.4546875,269982.1984375 
2440,209328.77578125,271144.3015625 
2450,210201.75,272287.5078125 
2460,211067.3625,273416.61796875 
2470,211945.76796875,274559.9546875 
2480,212833.90078125,275708.91953125 
2490,213685.834375,276826.3359375 
2500,214584.4296875,277981.446875 
2510,215481.29375,279142.09375 
2520,216341.165625,280267.8046875 
2530,217202.14765625,281411.77734375 
2540,218096.5359375,282555.634375 
2550,218914.6015625,283650.55078125 
2560,219845.2375,284802.690625 
2570,220690.459375,285924.6703125 
2580,221544.53984375,287056.53125 
2590,222451.79375,288211.68671875 
2600,223331.84765625,289346.859375 
2610,224238.35625,290495.065625 
2620,225068.54609375,291617.12109375 
2630,225913.80078125,292733.471875 
2640,226824.6765625,293889.821875 
2650,227658.88671875,295012.26328125 
2660,228586.68984375,296179.33125 
2670,229384.91953125,297267.78828125 
2680,230313.22578125,298433.6765625 
2690,231136.675,299548.95390625 
2700,232120.4515625,300739.0125 
2710,232955.4953125,301869.65234375 
2720,233826.109375,302993.54140625 
2730,234668.80625,304109.278125 
2740,235573.2125,305257.77734375 
2750,236423.590625,306407.07890625 
2760,237326.70859375,307555.47265625 
2770,238168.1515625,308658.3296875 
2780,239030.3609375,309784.78046875 
2790,239943.45078125,310910.22578125 
2800,240768.72734375,312019.5703125 
2810,241601.53984375,313119.86328125 
2820,242489.33125,314264.946875 
2830,243385.51328125,315417.159375 
2840,244288.1515625,316581.3453125 
2850,245145.05703125,317676.79921875 
2860,245965.5109375,318768.6890625 
2870,246815.29375,319907.0078125 
2880,247731.26484375,321067.49375 
2890,248583.3125,322182.61796875 
2900,249452.953125,323340.23125 
2910,250305.8703125,324453.0484375 
2920,251260.4640625,325621.4546875 
2930,252090.61953125,326739.459375 
2940,252998.58984375,327901.94609375 
2950,253811.2046875,328992.61640625 
2960,254685.65078125,330134.57265625 
2970,255512.57421875,331247.12578125 
2980,256480.11640625,332426.14609375 
2990,257247.021875,333488.2015625 
3000,258215.8984375,334692.21171875 
3010,259089.66328125,335823.15 
3020,259956.96640625,336969.3859375 
3030,260840.7390625,338098.81640625 
3040,261627.05546875,339175.640625 
3050,262565.8484375,340352.0546875 
3060,263381.125,341462.23515625 
3070,264255.10234375,342588.5859375 
3080,265194.4140625,343764.66484375 
3090,266028.834375,344889.06484375 
3100,266893.6296875,346018.90234375 
3110,267790.1234375,347171.44765625 
3120,268647.5203125,348299.37109375 
3130,269555.36484375,349449.0890625 
3140,270412.29765625,350574.79296875 
3150,271359.32265625,351777.68984375 
3160,272224.0296875,352911.2796875 
3170,273046.796875,354006.2625 
3180,273936.515625,355161.60625 
3190,274840.071875,356319.39375 
3200,275673.14609375,357448.14765625 
3210,276658.56640625,358645.42265625 
3220,277514.4296875,359777.434375 
3230,278358.61640625,360897.34140625 
3240,279207.7546875,362029.28515625 
3250,280161.54140625,363208.00234375 
3260,281008.23046875,364359.32109375 
3270,281939.23203125,365522.49921875 
3280,282741.428125,366604.51015625 
3290,283618.82890625,367734.87109375 
3300,284493.31328125,368868.09375 
3310,285323.04765625,369956.70703125 
3320,286255.634375,371126.39765625 
3330,287105.77578125,372260.303125 
3340,287942.43984375,373361.42421875 
3350,288810.7484375,374490.93984375 
3360,289691.0359375,375615.72265625 
3370,290618.14453125,376789.85625 
3380,291487.06640625,377939.07890625 
3390,292335.171875,379031.70625 
3400,293155.8390625,380183.73984375 
3410,294046.00703125,381373.03671875 
3420,295055.01015625,382538.26328125 
3430,295804.625,383625.04375 
3440,296721.87421875,384793.42734375 
3450,297601.31171875,385910.11875 
3460,298492.2328125,387067.0296875 
3470,299396.42578125,388212.36796875 
3480,300248.0234375,389363.3953125 
3490,301102.459375,390490.5765625 
3500,302080.778125,391702.5703125 
3510,302876.790625,392789.13125 
3520,303702.58984375,393881.48515625 
3530,304620.20703125,395030.29765625 
3540,305486.91484375,396144.85546875 
3550,306379.58671875,397308.71484375 
3560,307184.3234375,398383.6109375 
3570,308086.51015625,399529.55703125 
3580,308972.17890625,400669.87265625 
3590,309889.7828125,401816.67890625 
3600,310638.80546875,402887.11328125 
3610,311542.75,403972.19609375 
3620,312325.621875,405116.38671875 
3630,313107.6,406105.34609375 
3640,314023.546875,407346.3875 
3650,315000.99296875,408525.33203125 
3660,315884.53359375,409677.05703125 
3670,316842.7265625,410908.05546875 
3680,317711.06171875,412017.7984375 
3690,318492.1953125,413096.0671875 
3700,319386.3421875,414229.6859375 
3710,320279.8625,415397.49375 
3720,321057.54453125,416477.76484375 
3730,321978.4828125,417622.56875 
3740,322878.771875,418791.52578125 
3750,323760.1328125,419937.4265625 
3760,324560.88984375,420988.8453125 
3770,325474.69296875,422194.20234375 
3780,326258.60625,423190.05859375 
3790,327228.60703125,424408.22578125 
3800,328132.6859375,425589.36953125 
3810,328979.48046875,426724.23125 
3820,329888.8125,427890.48125 
3830,330670.58984375,428922.75859375 
3840,331593.84921875,430020.5921875 
3850,332368.21328125,431177.4828125 
3860,333317.97578125,432385.8375 
3870,334274.5296875,433597.81484375 
3880,335029.259375,434525.93671875 
3890,335868.5640625,435641.2921875 
3900,336771.98515625,436871.3125 
3910,337566.1578125,437883.2140625 
3920,338366.84140625,438891.44453125 
3930,339264.68828125,439999.046875 
3940,340204.80859375,441275.9890625 
3950,341166.628125,442556.946875 
3960,342015.128125,443653.7390625 
3970,343001.0265625,444840.7671875 
3980,343694.0578125,445816.86484375 
3990,344487.37734375,446805.3421875 
4000,345174.17421875,447707.3421875 
4010,345946.1453125,448655.75 
4020,346633.353125,449563.925 
4030,347340.4359375,450494.1234375 
4040,348088.33046875,451425.43984375 
4050,348761.1671875,452338.62265625 
4060,349488.44609375,453291.73046875 
4070,350156.07734375,454198.275 
4080,350948.80234375,455172.02265625 
4090,351766.965625,456187.859375 
4100,352423.21015625,457098.77890625 
4110,353067.11015625,458006.0859375 
4120,353799.37890625,458925.5671875 
4130,354481.5734375,459831.46484375 
4140,355331.503125,460887.728125 
4150,355982.8703125,461782.15 
4160,356759.9390625,462757.66328125 
4170,357494.2515625,463692.29609375 
4180,358228.8484375,464631.54296875 
4190,358963.57265625,465581.40078125 
4200,359574.140625,466468.73515625 
4210,360317.8484375,467434.44921875 
4220,361054.12109375,468383.62578125 
4230,361752.8765625,469334.55 
4240,362506.69609375,470293.67578125 
4250,363252.2828125,471265.04609375 
4260,363991.52421875,472216.25390625 
4270,364843.53515625,473222.621875 
4280,365428.85859375,474083.92734375 
4290,366139.33671875,475021.47265625 
4300,366792.6640625,475835.66484375 
4310,367540.909375,476817.3375 
4320,368282.59140625,477781.4171875 
4330,368978.31875,478728.490625 
4340,369722.45625,479678.62265625 
4350,370482.6671875,480602.41171875 
4360,371197.26328125,481576.31171875 
4370,371948.71015625,482567.06796875 
4380,372698.946875,483470.45625 
4390,373433.70234375,484380.66171875 
4400,374161.55703125,485395.3421875 
4410,374837.79609375,486318.99375 
4420,375584.46796875,487243.509375 
4430,376276.4671875,488207.8890625 
4440,377094.4046875,489148.4046875 
4450,377742.11640625,490041.009375 
4460,378474.76796875,490931.08046875 
4470,379071.83515625,491800.73984375 
4480,379786.93984375,492723.58828125 
4490,380546.03515625,493726.73515625 
4500,381157.7171875,494505.37734375 
4510,381917.8078125,495501.071875 
4520,382516.38125,496274.9359375 
4530,383269.67421875,497306.18203125 
4540,383971.40234375,498161.7 
4550,384591.5890625,498956.75546875 
4560,385410.54453125,500010.5734375 
4570,386032.7125,500834.6984375 
4580,386805.515625,501851.2234375 
4590,387621.409375,502921.19296875 
4600,388416.40234375,503839.16484375 
4610,388991.25625,504738.7875 
4620,389762.7953125,505689.2015625 
4630,390542.46875,506602.32421875 
4640,391165.70078125,507523.1515625 
4650,391964.33671875,508460.71875 
4660,392593.534375,509369.55234375 
4670,393506.7171875,510448.58828125 
4680,394159.95,511366.3125 
4690,394857.33671875,512361.96484375 
4700,395649.36328125,513330.26640625 
4710,396411.91328125,514276.1734375 
4720,397160.74375,515312.628125 
4730,397940.9734375,516251.96484375 
4740,398606.975,517177.48984375 
4750,399313.58515625,518090.61484375 
4760,399974.76640625,518903.7515625 
4770,400648.4890625,519882.96484375 
4780,401411.6140625,520763.83984375 
