time,finish_users_count,users_count 
0,0,0 
10,0,0 
20,0,0 
30,0,0 
40,0,0 
50,0,370.1 
60,0,501.2 
70,0,506 
80,0,495.7 
90,0,507.6 
100,0,509.5 
110,0,503.6 
120,0,503.4 
130,0,504.5 
140,0,499.6 
150,0,518.4 
160,0,503.9 
170,0,492.6 
180,0,494.4 
190,0,496.7 
200,0,493.2 
210,0,505.6 
220,0,506.9 
230,0,509.8 
240,0,512.8 
250,0,501.7 
260,0,500.6 
270,0,507.6 
280,0,511.5 
290,0,514.1 
300,0,505 
310,0,513.8 
320,0,492.1 
330,0,503 
340,0,496.9 
350,0,500.8 
360,0,498.2 
370,0,500 
380,0,493 
390,0,496.3 
400,0,508.9 
410,0,509.3 
420,0,497.7 
430,0,512.6 
440,0,494.7 
450,0,489.2 
460,0,493 
470,0,513.5 
480,0,496.7 
490,0,496.8 
500,0,495.5 
510,0,497 
520,0,509.1 
530,0,492.9 
540,0,496.4 
550,0,501.2 
560,0,502.4 
570,0,485.1 
580,0,497.2 
590,0,491.2 
600,0,480.2 
610,0,512.8 
620,0,510.8 
630,0,483 
640,0,499.8 
650,0,494.2 
660,0,499.9 
670,0,511.8 
680,0,505.2 
690,0,501.3 
700,0,500.2 
710,0,495.8 
720,0,499.8 
730,0,501.5 
740,0,492.3 
750,0,502.5 
760,0,510.3 
770,0,488 
780,0,500.1 
790,0,503 
800,0,506.1 
810,0,499.8 
820,0,510 
830,0,498.4 
840,0,521.8 
850,0,501.9 
860,0,481.7 
870,0,504.4 
880,0,498.8 
890,0,489.8 
900,0,491.2 
910,0,506.9 
920,0,487.7 
930,0,493.4 
940,0,505.9 
950,0,507.1 
960,0,496.3 
970,0,511.3 
980,0,505.1 
990,0,507.7 
1000,0,506.3 
1010,0,506.6 
1020,0,496.3 
1030,0,491.5 
1040,0,504.5 
1050,0,497.2 
1060,0,509.2 
1070,0,506.3 
1080,0,496.6 
1090,0,502.3 
1100,0,501.5 
1110,0,498.5 
1120,0,500.4 
1130,0,493.9 
1140,0,493.6 
1150,0,507.3 
1160,0,508 
1170,0,491.1 
1180,0,494.5 
1190,0,491.4 
1200,0,509.5 
1210,0,510.2 
1220,0,488.3 
1230,0,504.1 
1240,0,507 
1250,0,497.5 
1260,0,503.1 
1270,0,517.7 
1280,0,486.2 
1290,0,491.7 
1300,0,504.1 
1310,0,492.5 
1320,0,508.3 
1330,0,515 
1340,0,497.4 
1350,0,496.7 
1360,0,507.3 
1370,0,492.4 
1380,0,498.8 
1390,0,513.7 
1400,0,504.1 
1410,0,493.6 
1420,0,492.7 
1430,0,499.8 
1440,0,507.8 
1450,0,500.1 
1460,0,514.1 
1470,0,494.8 
1480,0,500.7 
1490,0,502 
1500,0,488.5 
1510,0,505.1 
1520,0,494.1 
1530,0,507.4 
1540,0,500 
1550,0,498.6 
1560,0,508.3 
1570,0,495.5 
1580,0,504.8 
1590,0,497.3 
1600,0,500.8 
1610,0,504.9 
1620,0,505.9 
1630,0,477.6 
1640,0,486.9 
1650,0,502.5 
1660,0,506.4 
1670,0,502.5 
1680,0,489.9 
1690,0,505.5 
1700,0,492.7 
1710,0,497 
1720,0,507.8 
1730,0,492.8 
1740,0,506.2 
1750,0,496.7 
1760,0,492.1 
1770,0,505 
1780,0,496.2 
1790,0,491.8 
1800,0,497.8 
1810,0,521.3 
1820,0,503.7 
1830,0,502.4 
1840,0,501 
1850,0,509.1 
1860,0,498.2 
1870,0,502.7 
1880,0,507.1 
1890,0,509.3 
1900,0,494.9 
1910,0,500.7 
1920,0,506 
1930,0,494.7 
1940,0,507.3 
1950,0,492.4 
1960,0,500.3 
1970,0,472.5 
1980,0,497.2 
1990,0,498.9 
2000,0,506.2 
2010,0,494.7 
2020,0,498.6 
2030,0,493 
2040,0,497.7 
2050,0,513.3 
2060,0,498.9 
2070,0,497.4 
2080,0,486.3 
2090,0,503.1 
2100,0,515.9 
2110,0,510.9 
2120,0,496.4 
2130,0,495.1 
2140,0,505.4 
2150,0,509.6 
2160,0,488.9 
2170,0,484.2 
2180,0,505.3 
2190,0,497.7 
2200,0,494.9 
2210,0,503.5 
2220,0,506.2 
2230,0,501.5 
2240,0,519.1 
2250,0,488.8 
2260,0,497.4 
2270,0,498.6 
2280,0,501.6 
2290,0,497.6 
2300,0,493.6 
2310,0,497.2 
2320,0,499.2 
2330,0,504.4 
2340,0,500.5 
2350,0,504.1 
2360,0,502.5 
2370,0,512.1 
2380,0,508.4 
2390,0,494.2 
2400,0,504.1 
2410,0,505.3 
2420,0,497.3 
2430,0,494.1 
2440,0,517.5 
2450,0,502.7 
2460,0,497.7 
2470,0,498.8 
2480,0,508 
2490,0,493.6 
2500,0,504.3 
2510,0,508.3 
2520,0,499.1 
2530,0,499.9 
2540,0,502.2 
2550,0,492.3 
2560,0,500.5 
2570,0,501.2 
2580,0,500.5 
2590,0,504.8 
2600,0,495.3 
2610,0,499.7 
2620,0,500.8 
2630,0,497.6 
2640,0,500.3 
2650,0,495.8 
2660,0,506.8 
2670,0,484.1 
2680,0,512.2 
2690,0,497.8 
2700,0,502.1 
2710,0,506.4 
2720,0,491.6 
2730,0,494.6 
2740,0,494 
2750,0,518.8 
2760,0,500.4 
2770,0,490.3 
2780,0,492.8 
2790,0,484.3 
2800,0,498.1 
2810,0,499.4 
2820,0,499 
2830,0,503.7 
2840,0,508.1 
2850,0,483.9 
2860,0,489.2 
2870,0,499.8 
2880,0,508.5 
2890,0,486.7 
2900,0,501.6 
2910,0,503.1 
2920,0,493.1 
2930,0,500.7 
2940,0,506.4 
2950,0,486.5 
2960,0,495.2 
2970,0,505.1 
2980,0,501.1 
2990,0,489.8 
3000,0,503 
3010,0,507 
3020,0,499.2 
3030,0,496.3 
3040,0,502.5 
3050,0,504.6 
3060,0,502.3 
3070,0,501.6 
3080,0,495.4 
3090,0,504 
3100,0,498.3 
3110,0,506.5 
3120,0,500.5 
3130,0,493.3 
3140,0,504.6 
3150,0,515.1 
3160,0,499.6 
3170,0,504.7 
3180,0,502.4 
3190,0,498.3 
3200,0,498.1 
3210,0,502.7 
3220,0,500.9 
3230,0,510.8 
3240,0,497.1 
3250,0,504.7 
3260,0,508.9 
3270,0,496.3 
3280,0,484.4 
3290,0,503.8 
3300,0,500.6 
3310,0,503.7 
3320,0,503.3 
3330,0,497.9 
3340,0,490.1 
3350,0,498.7 
3360,0,492 
3370,0,509.8 
3380,0,499.4 
3390,0,507.6 
3400,0,514.1 
3410,0,509.1 
3420,0,487 
3430,0,494.2 
3440,0,502.5 
3450,0,494.3 
3460,0,502.1 
3470,0,505 
3480,0,506.2 
3490,0,502.6 
3500,0,507.9 
3510,0,496.3 
3520,0,498.1 
3530,0,492.1 
3540,0,500 
3550,0,499.6 
3560,0,493.6 
3570,0,494.8 
3580,0,507.7 
3590,0,494.9 
3600,0,498.4 
3610,0,512 
3620,0,486.9 
3630,0,492.2 
3640,0,503.9 
3650,0,482.8 
3660,0,509.6 
3670,0,509.5 
3680,0,498.2 
3690,0,492.5 
3700,0,498.7 
3710,0,497.6 
3720,0,486.9 
3730,0,495.2 
3740,0,502.1 
3750,0,514.2 
3760,0,491.2 
3770,0,500.2 
3780,0,498.9 
3790,0,508.9 
3800,0,499.2 
3810,0,496.7 
3820,0,508.8 
3830,0,503 
3840,0,500.1 
3850,0,502.2 
3860,0,504.9 
3870,0,511.1 
3880,0,490.9 
3890,0,502.1 
3900,0,499.7 
3910,0,494.9 
3920,0,507.9 
3930,0,502 
3940,0,505 
3950,0,504.4 
3960,0.1,487.4 
3970,0,496.5 
3980,0.2,506.4 
3990,0.7,498.7 
4000,0.2,493.8 
4010,0.3,495.5 
4020,0.8,496 
4030,0.6,492.5 
4040,0.2,499.5 
4050,0.6,499.4 
4060,0.6,509.6 
4070,0.3,511.2 
4080,0.5,503.5 
4090,0.8,518.3 
4100,1.3,502 
4110,1.8,490.8 
4120,2.6,500.4 
4130,2.5,493.9 
4140,2.9,521.8 
4150,2.9,505 
4160,1.6,501.7 
4170,3,499.1 
4180,2.1,506.9 
4190,2.7,507.5 
4200,3.6,504 
4210,3.7,497.9 
4220,3.8,506.5 
4230,7.2,501.9 
4240,8.5,506.7 
4250,7.4,513.4 
4260,9,504.3 
4270,7.5,511.3 
4280,7.9,505.3 
4290,8.6,491.6 
4300,8.3,494.9 
4310,9.2,504 
4320,8.9,493 
4330,10.2,502.6 
4340,11.1,504.7 
4350,12.6,513.3 
4360,16.8,509.3 
4370,20.5,505 
4380,23.5,503.6 
4390,20.3,497.4 
4400,21.6,499.2 
4410,22.9,502.2 
4420,18.9,495.4 
4430,22.1,511.7 
4440,22.4,500.2 
4450,23,467.4 
4460,24.7,495.4 
4470,23,494.8 
4480,28,496 
4490,34.4,495.7 
4500,34.8,506.9 
4510,40.1,493.6 
4520,37.9,498.3 
4530,39.3,506.5 
4540,35.1,498.5 
4550,42.1,495.2 
4560,38.8,501.1 
4570,37.3,501.7 
4580,39.4,513 
4590,39.9,498.4 
4600,45.5,499.6 
4610,48.2,505.2 
4620,52.9,503.8 
4630,56.7,500.6 
4640,58,507.2 
4650,55.3,502.1 
4660,57.3,494.9 
4670,54.3,492.8 
4680,52.3,499.4 
4690,55.5,501.9 
4700,55.7,502.2 
4710,55.6,505.6 
4720,53.1,488.2 
4730,60,504.1 
4740,67,498.6 
4750,74.9,511.2 
4760,71.4,492 
4770,71,508.2 
4780,68.5,501.1 
