time,recvpackets@tsung_controller@3569fb844dae 
10,0.1 
20,0.1 
30,0.1 
40,0.1 
50,0.1 
60,0.1 
70,0.1 
80,0.1 
90,0.1 
100,0.1 
110,0.1 
120,0.1 
130,0.1 
140,0.1 
150,0.1 
160,0.1 
170,0.1 
180,0.1 
190,0.1 
200,0.1 
210,0.1 
220,0.1 
230,0.1 
240,0.1 
250,0.1 
260,0.1 
270,0.1 
280,0.1 
290,0.1 
300,0.1 
310,0.1 
320,0.1 
330,0.1 
340,0.1 
350,0.1 
360,0.1 
370,0.1 
380,0.1 
390,0.1 
400,0.1 
410,0.1 
420,0.1 
430,0.1 
440,0.1 
450,0.1 
460,0.1 
470,0.1 
480,0.1 
490,0.1 
500,0.1 
510,0.1 
520,0.1 
530,0.1 
540,0.1 
550,0.1 
560,0.1 
570,0.1 
580,0.1 
590,0.1 
600,0.1 
610,0.1 
620,0.1 
630,0.1 
640,0.1 
650,0.1 
660,0.1 
670,0.1 
680,0.1 
690,0.1 
700,0.1 
710,0.1 
720,0.1 
730,0.1 
740,0.1 
750,0.1 
760,0.1 
770,0.1 
780,0.1 
790,0.1 
800,0.1 
810,0.1 
820,0.1 
830,0.1 
840,0.1 
850,0.1 
860,0.1 
870,0.1 
880,0.1 
890,0.1 
900,0.1 
910,0.1 
920,0.1 
930,0.1 
940,0.1 
950,0.1 
960,0.1 
970,0.1 
980,0.1 
990,0.1 
1000,0.1 
1010,0.1 
1020,0.1 
1030,0.1 
1040,0.1 
1050,0.1 
1060,0.1 
1070,0.1 
1080,0.1 
1090,0.1 
1100,0.1 
1110,0.1 
1120,0.1 
1130,0.1 
1140,0.1 
1150,0.1 
1160,0.1 
1170,0.1 
1180,0.1 
1190,0.1 
1200,0.1 
1210,0.1 
1220,0.1 
1230,0.1 
1240,0.1 
1250,0.1 
1260,0.1 
1270,0.1 
1280,0.1 
1290,0.1 
1300,0.1 
1310,0.1 
1330,0.1 
1340,0.1 
1350,0.1 
1360,0.1 
1370,0.1 
1380,0.1 
1390,0.1 
1400,0.1 
1410,0.1 
1420,0.1 
1430,0.1 
1440,0.1 
1450,0.1 
1460,0.1 
1470,0.1 
1480,0.1 
1490,0.1 
1500,0.1 
1510,0.1 
1520,0.1 
1530,0.1 
1540,0.1 
1550,0.1 
1560,0.1 
1570,0.1 
1580,0.1 
1590,0.1 
1600,0.1 
1610,0.1 
1620,0.1 
1630,0.1 
1640,0.1 
1650,0.1 
1660,0.1 
1670,0.1 
1680,0.1 
1690,0.1 
1700,0.1 
1710,0.1 
1720,0.1 
1730,0.1 
1740,0.1 
1750,0.1 
1760,0.1 
1770,0.1 
1780,0.1 
1790,0.1 
1800,0.1 
1810,0.1 
1820,0.1 
1830,0.1 
1840,0.1 
1850,0.1 
1860,0.1 
1870,0.1 
1880,0.1 
1890,0.1 
1900,0.1 
1910,0.1 
1920,0.1 
1930,0.1 
1940,0.1 
1950,0.1 
1960,0.1 
1970,0.1 
1980,0.1 
1990,0.1 
2000,0.1 
2010,0.1 
2020,0.1 
2030,0.1 
2040,0.1 
2050,0.1 
2060,0.1 
2070,0.1 
2080,0.1 
2090,0.1 
2100,0.1 
2110,0.1 
2120,0.1 
2130,0.1 
2140,0.1 
2150,0.1 
2160,0.1 
2170,0.1 
2180,0.1 
2190,0.1 
2200,0.1 
2210,0.1 
2220,0.1 
2230,0.1 
2240,0.1 
2250,0.1 
2260,0.1 
2270,0.1 
2280,0.1 
2290,0.1 
2300,0.1 
2310,0.1 
2320,0.1 
2330,0.1 
2340,0.1 
2350,0.1 
2360,0.1 
2370,0.1 
2380,0.1 
2390,0.1 
2400,0.1 
2410,0.1 
2420,0.1 
2430,0.1 
2440,0.1 
2450,0.1 
2460,0.1 
2470,0.1 
2480,0.1 
2490,0.1 
2500,0.1 
2510,0.1 
2520,0.1 
2530,0.1 
2540,0.1 
2550,0.1 
2560,0.1 
2570,0.1 
2580,0.1 
2590,0.1 
2600,0.1 
2610,0.1 
2620,0.1 
2630,0.1 
2640,0.1 
2650,0.1 
2660,0.1 
2670,0.1 
2680,0.1 
2690,0.1 
2700,0.1 
2710,0.1 
2720,0.1 
2730,0.1 
2740,0.1 
2750,0.1 
2760,0.1 
2770,0.1 
2780,0.1 
2790,0.1 
2800,0.1 
2810,0.1 
2820,0.1 
2830,0.1 
2840,0.1 
2850,0.1 
2860,0.1 
2870,0.1 
2880,0.1 
2890,0.1 
2900,0.1 
2910,0.1 
2920,0.1 
2930,0.1 
2940,0.1 
2950,0.1 
2960,0.1 
2980,0.1 
2990,0.1 
3000,0.1 
3010,0.1 
3020,0.1 
3030,0.1 
3040,0.1 
3050,0.1 
3060,0.1 
3070,0.1 
3080,0.1 
3090,0.1 
3100,0.1 
3110,0.1 
3120,0.1 
3130,0.1 
3140,0.1 
3150,0.1 
3160,0.1 
3170,0.1 
3180,0.1 
3190,0.1 
3200,0.1 
3210,0.1 
3220,0.1 
3230,0.1 
3240,0.1 
3250,0.1 
3260,0.1 
3270,0.1 
3280,0.1 
3290,0.1 
3300,0.1 
3310,0.1 
3320,0.1 
3330,0.1 
3340,0.1 
3350,0.1 
3360,0.1 
3370,0.1 
3380,0.1 
3390,0.1 
3400,0.1 
3410,0.1 
3420,0.1 
3430,0.1 
3440,0.1 
3450,0.1 
3460,0.1 
3470,0.1 
3480,0.1 
3490,0.1 
3500,0.1 
3510,0.1 
3520,0.1 
3530,0.1 
3540,0.1 
3550,0.1 
3560,0.1 
3570,0.1 
3580,0.1 
3590,0.1 
3600,0.1 
3610,0.1 
3620,0.1 
3630,0.1 
3640,0.1 
3650,0.1 
3660,0.1 
3670,0.1 
3680,0.1 
3690,0.1 
3700,0.1 
3710,0.1 
3720,0.1 
3730,0.1 
3740,0.1 
3750,0.1 
3760,0.1 
3770,0.1 
3780,0.1 
3790,0.1 
3800,0.1 
3810,0.1 
3820,0.1 
3830,0.1 
3840,0.1 
3850,0.1 
3860,0.1 
3870,0.1 
3880,0.1 
3890,0.1 
3900,0.1 
3910,0.1 
3920,0.1 
3930,0.1 
3940,0.1 
3950,0.1 
3960,0.1 
3970,0.1 
3980,0.1 
3990,0.1 
4000,0.1 
4010,0.1 
4020,0.1 
4030,0.1 
4040,0.1 
4050,0.1 
4060,0.1 
4070,0.1 
4080,0.1 
4090,0.1 
4100,0.1 
4110,0.1 
4120,0.1 
4130,0.1 
4140,0.1 
4150,0.1 
4160,0.1 
4170,0.1 
4180,0.1 
4190,0.1 
4200,0.1 
4210,0.1 
4220,0.1 
4230,0.1 
4240,0.1 
4250,0.1 
4260,0.1 
4270,0.1 
4280,0.1 
4290,0.1 
4300,0.1 
4310,0.1 
4320,0.1 
4330,0.1 
4340,0.1 
4350,0.1 
4360,0.1 
4370,0.1 
4380,0.1 
4390,0.1 
4400,0.1 
4410,0.1 
4420,0.1 
4430,0.1 
4440,0.1 
4450,0.1 
4460,0.1 
4470,0.1 
4480,0.1 
4490,0.1 
4500,0.1 
4510,0.1 
4520,0.1 
4530,0.1 
4540,0.1 
4550,0.1 
4560,0.1 
4570,0.1 
4580,0.1 
4590,0.1 
4600,0.1 
4610,0.1 
4620,0.1 
4630,0.1 
4640,0.1 
4660,0.1 
4670,0.1 
4680,0.1 
4690,0.1 
4700,0.1 
4710,0.1 
4720,0.1 
4730,0.1 
4740,0.1 
4750,0.1 
4760,0.1 
4770,0.1 
4780,0.1 
